X,Y,Shift,Age,Primary_fur_color,Location,Ground_Sighting_Measure,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from,Day,Plot_number,Section
-73.9618064639153,40.792158440043,PM,Adult,Gray,Ground Plane,0,True,False,False,False,True,False,False,False,False,True,True,False,False,13,32,C
-73.9554432393295,40.7945669054449,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,14,37,F
-73.9613780522542,40.790786197111,PM,Adult,Gray,Above Ground,30,False,False,False,True,False,False,False,False,False,False,False,True,False,6,31,D
-73.9646901432328,40.775995869679,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,12,15,I
-73.9690828325179,40.7818038172275,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,False,18,19,C
-73.9708775864433,40.772473633538,PM,Adult,Black,Ground Plane,0,True,False,False,False,True,False,False,False,False,False,False,False,True,19,10,F
-73.9691050656013,40.7808139538222,PM,Adult,Black,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,18,18,C
-73.9768434635084,40.7728494038744,AM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,8,7,B
-73.9553811810434,40.7970895007931,AM,Adult,Gray,Ground Plane,0,True,False,False,False,True,False,False,False,False,True,False,True,False,14,40,E
-73.9588468413094,40.7963852299012,AM,Adult,Gray,Above Ground,28,False,False,True,False,False,False,True,False,False,False,False,False,False,19,38,B
-73.9788138172962,40.7693001754769,AM,Juvenile,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,10,3,B
-73.9700162034073,40.7815277479588,AM,Juvenile,Gray,Ground Plane,0,True,False,False,True,False,False,False,False,False,False,False,True,True,19,19,B
-73.9570528770427,40.7990973804149,AM,Adult,Cinnamon,Above Ground,10,False,False,False,False,False,True,False,False,True,False,True,False,False,10,41,B
-73.9735489537928,40.7681257911523,AM,Adult,Gray,Above Ground,12,False,False,False,False,False,False,False,False,False,False,False,True,False,6,4,G
-73.9695507965155,40.7743070423435,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,True,False,7,12,F
-73.9787105069657,40.7693708133873,AM,Juvenile,Gray,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,True,False,10,3,B
-73.9651654887991,40.7777806006951,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,True,False,False,True,False,7,17,H
-73.9537691298752,40.7941272599797,PM,Adult,Gray,Ground Plane,0,True,False,False,False,False,False,False,False,True,False,False,False,True,20,38,G
-73.9764839973068,40.7691725326976,PM,Adult,Cinnamon,Ground Plane,0,False,False,False,False,True,False,False,False,True,False,False,True,False,8,4,D
-73.9737773613311,40.7673662611015,PM,Adult,Gray,Ground Plane,0,False,False,False,False,True,False,False,False,False,False,False,False,True,13,3,G
